Date,Time_AST_24HR,Site,Temperature_C,Salinity_psu,DO_mgL,DO_percent,Time_Notes
8/22/2025,14:47,Inshore,31.79,35.10,7.13,117.7,Correct
8/22/2025,14:50,Offshore,31.97,35.13,8.60,142.4,Correct
8/29/2025,13:31,Offshore,30.67,35.85,6.40,104.3,Correct
8/29/2025,13:29,Inshore,30.62,35.24,6.27,101.4,Correct
9/5/2025,13:34,Inshore,31.50,35.17,7.26,119.4,Correct
9/5/2025,13:37,Offshore,31.16,35.62,6.62,108.7,Estimated
9/19/2025,11:21,Inshore,29.12,35.37,6.52,103.6,Correct
9/19/2025,11:24,Offshore,29.43,35.54,5.69,90.6,Estimated
